,path,face,id,cover,name,rating
63,1059.jpg,False,1059,//images.igdb.com/igdb/image/upload/t_thumb/co25rk.jpg,Kingdoms of Amalur: Reckoning,5.0
64,10591.jpg,False,10591,//images.igdb.com/igdb/image/upload/t_thumb/co21dk.jpg,NecroVisioN,5.0
65,10602.jpg,False,10602,//images.igdb.com/igdb/image/upload/t_thumb/co21g7.jpg,PixelJunk Nom Nom Galaxy,2.0
66,1062.jpg,False,1062,//images.igdb.com/igdb/image/upload/t_thumb/co2dft.jpg,Alan Wake,4.0
67,1064.jpg,True,1064,//images.igdb.com/igdb/image/upload/t_thumb/co1ub8.jpg,The Secret World,4.0
68,1065.jpg,False,1065,//images.igdb.com/igdb/image/upload/t_thumb/co1w4i.jpg,Street Fighter X Tekken,3.0
69,1067.jpg,False,1067,//images.igdb.com/igdb/image/upload/t_thumb/co1wos.jpg,Super Mario Bros. 2,1.0
70,1070.jpg,True,1070,//images.igdb.com/igdb/image/upload/t_thumb/co23jy.jpg,Super Mario World,2.0
71,1074.jpg,False,1074,//images.igdb.com/igdb/image/upload/t_thumb/co21mm.jpg,Super Mario 64,1.0
72,1075.jpg,False,1075,//images.igdb.com/igdb/image/upload/t_thumb/co21rh.jpg,Super Mario Sunshine,1.0
73,1076.jpg,False,1076,//images.igdb.com/igdb/image/upload/t_thumb/co21rm.jpg,New Super Mario Bros.,1.0
74,1077.jpg,True,1077,//images.igdb.com/igdb/image/upload/t_thumb/co21ro.jpg,Super Mario Galaxy,1.0
75,1078.jpg,True,1078,//images.igdb.com/igdb/image/upload/t_thumb/co21tl.jpg,Super Mario Galaxy 2,1.0
76,1079.jpg,False,1079,//images.igdb.com/igdb/image/upload/t_thumb/co21tq.jpg,Super Mario 3D Land,1.0
77,1080.jpg,False,1080,//images.igdb.com/igdb/image/upload/t_thumb/co21tr.jpg,New Super Mario Bros. 2,1.0
78,1081.jpg,False,1081,//images.igdb.com/igdb/image/upload/t_thumb/co1ybf.jpg,The Elder Scrolls Online,5.0
79,10818.jpg,False,10818,//images.igdb.com/igdb/image/upload/t_thumb/q2bggsynwtjwfshidvfy.jpg,Serious Sam Double D,5.0
80,1082.jpg,False,1082,//images.igdb.com/igdb/image/upload/t_thumb/co20cx.jpg,Resident Evil 6,5.0
81,1086.jpg,False,1086,//images.igdb.com/igdb/image/upload/t_thumb/co22oi.jpg,Donkey Kong,1.0
82,1087.jpg,False,1087,//images.igdb.com/igdb/image/upload/t_thumb/co29o4.jpg,Donkey Kong Jr.,1.0
83,10870.jpg,True,10870,//images.igdb.com/igdb/image/upload/t_thumb/co220u.jpg,Sins of a Solar Empire: Trinity,2.0
84,1088.jpg,True,1088,//images.igdb.com/igdb/image/upload/t_thumb/co289e.jpg,Donkey Kong 3,1.0
85,109.jpg,True,109,//images.igdb.com/igdb/image/upload/t_thumb/co2ldn.jpg,L.A. Noire,5.0
86,1090.jpg,False,1090,//images.igdb.com/igdb/image/upload/t_thumb/co29n6.jpg,Donkey Kong Country,1.0
87,1091.jpg,False,1091,//images.igdb.com/igdb/image/upload/t_thumb/co289g.jpg,Donkey Kong Land,1.0
88,10910.jpg,False,10910,//images.igdb.com/igdb/image/upload/t_thumb/co1j95.jpg,LEGO Worlds,2.0
89,1092.jpg,False,1092,//images.igdb.com/igdb/image/upload/t_thumb/co217m.jpg,Donkey Kong Country 2: Diddy's Kong Quest,1.0
90,10928.jpg,True,10928,//images.igdb.com/igdb/image/upload/t_thumb/z57y1zcgyhvmxgrod5w6.jpg,STORM: Frontline Nation,5.0
91,1093.jpg,False,1093,//images.igdb.com/igdb/image/upload/t_thumb/co289h.jpg,Donkey Kong Land 2,1.0
92,10934.jpg,False,10934,//images.igdb.com/igdb/image/upload/t_thumb/bh407ba4xraqzfqsm6dk.jpg,Sword of the Stars: Born of Blood,2.0
93,10935.jpg,False,10935,//images.igdb.com/igdb/image/upload/t_thumb/m7t8setmlu1f1m8sfur0.jpg,Sword of the Stars: A Murder of Crows,2.0
94,1094.jpg,True,1094,//images.igdb.com/igdb/image/upload/t_thumb/co217n.jpg,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.0
95,10945.jpg,False,10945,//images.igdb.com/igdb/image/upload/t_thumb/co2npz.jpg,Mystic Chronicles,2.0
96,10952.jpg,False,10952,//images.igdb.com/igdb/image/upload/t_thumb/co2321.jpg,Talisman: Digital Edition,2.0
97,10953.jpg,False,10953,//images.igdb.com/igdb/image/upload/t_thumb/co2h1q.jpg,Talisman: Prologue,2.0
98,1096.jpg,False,1096,//images.igdb.com/igdb/image/upload/t_thumb/co289i.jpg,Donkey Kong 64,2.0
99,10960.jpg,False,10960,//images.igdb.com/igdb/image/upload/t_thumb/co1z4e.jpg,Thumper,2.0
100,10964.jpg,True,10964,//images.igdb.com/igdb/image/upload/t_thumb/co1rgp.jpg,Sniper: Ghost Warrior 3,5.0
101,10967.jpg,False,10967,//images.igdb.com/igdb/image/upload/t_thumb/z96syvfabm8tagpnnkfr.jpg,eXceed 3rd: Jade Penetrate Black Package,2.0
102,1097.jpg,False,1097,//images.igdb.com/igdb/image/upload/t_thumb/co289j.jpg,Donkey Kong Jungle Beat,1.0
103,10985.jpg,False,10985,//images.igdb.com/igdb/image/upload/t_thumb/co2iq4.jpg,The 39 Steps,2.0
104,11.jpg,False,11,//images.igdb.com/igdb/image/upload/t_thumb/co2n14.jpg,Vampire: The Masquerade - Bloodlines,5.0
105,1100.jpg,True,1100,//images.igdb.com/igdb/image/upload/t_thumb/co1wf4.jpg,Donkey Kong Country Returns,1.0
106,11009.jpg,False,11009,//images.igdb.com/igdb/image/upload/t_thumb/co2fjt.jpg,Supersonic Acrobatic Rocket-Powered Battle-Cars,2.0
107,1101.jpg,True,1101,//images.igdb.com/igdb/image/upload/t_thumb/co1xe8.jpg,Metroid,2.0
108,11025.jpg,False,11025,//images.igdb.com/igdb/image/upload/t_thumb/co1teg.jpg,Dawn of Magic 2,5.0
109,1103.jpg,False,1103,//images.igdb.com/igdb/image/upload/t_thumb/co1o11.jpg,Super Metroid,2.0
110,1104.jpg,False,1104,//images.igdb.com/igdb/image/upload/t_thumb/co1vb9.jpg,Metroid Fusion,2.0
111,11040.jpg,False,11040,//images.igdb.com/igdb/image/upload/t_thumb/ezffedsfciwd4l1hy6yy.jpg,War of the Roses: Kingmaker,5.0
112,1105.jpg,False,1105,//images.igdb.com/igdb/image/upload/t_thumb/co1o28.jpg,Metroid Prime,3.0
113,11065.jpg,False,11065,//images.igdb.com/igdb/image/upload/t_thumb/co230k.jpg,Ratchet & Clank,2.0
114,11069.jpg,True,11069,//images.igdb.com/igdb/image/upload/t_thumb/co2bvz.jpg,LEGO Marvel's Avengers,2.0
115,1107.jpg,False,1107,//images.igdb.com/igdb/image/upload/t_thumb/co1vci.jpg,Metroid: Zero Mission,2.0
116,1108.jpg,False,1108,//images.igdb.com/igdb/image/upload/t_thumb/co1w7n.jpg,Metroid Prime 2: Echoes,3.0
117,11083.jpg,False,11083,//images.igdb.com/igdb/image/upload/t_thumb/bcbdtpmszfrchsgd1mjz.jpg,Disney Infinity 3.0,2.0
118,111.jpg,False,111,//images.igdb.com/igdb/image/upload/t_thumb/co1qq5.jpg,Amnesia: The Dark Descent,4.0
119,11118.jpg,False,11118,//images.igdb.com/igdb/image/upload/t_thumb/co1rb2.jpg,Dishonored 2,5.0
120,1112.jpg,False,1112,//images.igdb.com/igdb/image/upload/t_thumb/co1jle.jpg,Metroid Prime: Trilogy,3.0
121,1114.jpg,False,1114,//images.igdb.com/igdb/image/upload/t_thumb/co20d3.jpg,Castlevania,2.0
122,11148.jpg,False,11148,//images.igdb.com/igdb/image/upload/t_thumb/co1v2v.jpg,Plants vs Zombies: Garden Warfare 2,2.0
123,11157.jpg,False,11157,//images.igdb.com/igdb/image/upload/t_thumb/co2fgr.jpg,HITMAN,5.0
124,1116.jpg,False,1116,//images.igdb.com/igdb/image/upload/t_thumb/co20dh.jpg,Castlevania II: Simon's Quest,2.0
125,11161.jpg,False,11161,//images.igdb.com/igdb/image/upload/t_thumb/co1v8w.jpg,South Park: The Fractured But Whole,5.0
126,11162.jpg,False,11162,//images.igdb.com/igdb/image/upload/t_thumb/co1rb8.jpg,For Honor,5.0
127,11170.jpg,False,11170,//images.igdb.com/igdb/image/upload/t_thumb/co2cpx.jpg,Unravel,2.0
128,11171.jpg,False,11171,//images.igdb.com/igdb/image/upload/t_thumb/co1ku7.jpg,Tom Clancy's Ghost Recon: Wildlands,5.0
129,11177.jpg,False,11177,//images.igdb.com/igdb/image/upload/t_thumb/co24is.jpg,Gang Beasts,2.0
130,11180.jpg,False,11180,//images.igdb.com/igdb/image/upload/t_thumb/co27wh.jpg,Robinson: The Journey,2.0
131,11182.jpg,False,11182,//images.igdb.com/igdb/image/upload/t_thumb/co1rdg.jpg,Enter the Gungeon,2.0
132,11184.jpg,True,11184,//images.igdb.com/igdb/image/upload/t_thumb/co1tyb.jpg,Capsule Force,2.0
133,11186.jpg,True,11186,//images.igdb.com/igdb/image/upload/t_thumb/co28gk.jpg,Gears of War 4,5.0
134,1119.jpg,False,1119,//images.igdb.com/igdb/image/upload/t_thumb/co20e8.jpg,Castlevania III: Dracula's Curse,2.0
135,11194.jpg,False,11194,//images.igdb.com/igdb/image/upload/t_thumb/co1nrj.jpg,The Legend of Zelda: Tri Force Heroes,2.0
136,11196.jpg,False,11196,//images.igdb.com/igdb/image/upload/t_thumb/co1p9l.jpg,Star Fox Zero,2.0
137,11197.jpg,True,11197,//images.igdb.com/igdb/image/upload/t_thumb/co1iv7.jpg,Yo-Kai Watch,2.0
138,112.jpg,True,112,//images.igdb.com/igdb/image/upload/t_thumb/co1u6n.jpg,Devil May Cry 4,4.0
139,11208.jpg,False,11208,//images.igdb.com/igdb/image/upload/t_thumb/co2g48.jpg,NieR: Automata,5.0
140,1121.jpg,False,1121,//images.igdb.com/igdb/image/upload/t_thumb/co1r8g.jpg,Watch_Dogs,5.0
141,11218.jpg,False,11218,//images.igdb.com/igdb/image/upload/t_thumb/co2n1w.jpg,Super Stardust Ultra,2.0
142,11219.jpg,False,11219,//images.igdb.com/igdb/image/upload/t_thumb/co2gt7.jpg,Sonic the Hedgehog 3 & Knuckles,2.0
143,1122.jpg,False,1122,//images.igdb.com/igdb/image/upload/t_thumb/co1wkv.jpg,Call of Duty: Black Ops II,5.0
144,11221.jpg,False,11221,//images.igdb.com/igdb/image/upload/t_thumb/co1z4a.jpg,The Solus Project,2.0
145,11225.jpg,False,11225,//images.igdb.com/igdb/image/upload/t_thumb/jxq2j3raorfftqm4ionj.jpg,Typoman,2.0
146,11232.jpg,False,11232,//images.igdb.com/igdb/image/upload/t_thumb/co2is7.jpg,A Wizard's Lizard,2.0
147,11234.jpg,False,11234,//images.igdb.com/igdb/image/upload/t_thumb/j12ijfnvibt9el12pupd.jpg,Drawn: The Painted Tower,2.0
148,1124.jpg,False,1124,//images.igdb.com/igdb/image/upload/t_thumb/co20dc.jpg,Super Castlevania IV,2.0
149,11253.jpg,False,11253,//images.igdb.com/igdb/image/upload/t_thumb/co2cgm.jpg,RIGS: Mechanized Combat League,2.0
150,11257.jpg,False,11257,//images.igdb.com/igdb/image/upload/t_thumb/e0niyjufwtqapkwwiifv.jpg,LBX: Little Battlers eXperience,2.0
151,11260.jpg,True,11260,//images.igdb.com/igdb/image/upload/t_thumb/co1z1m.jpg,Armello,2.0
152,11276.jpg,False,11276,//images.igdb.com/igdb/image/upload/t_thumb/co1no9.jpg,The Room Two,2.0
153,1128.jpg,True,1128,//images.igdb.com/igdb/image/upload/t_thumb/co1nh3.jpg,Castlevania: Symphony of the Night,3.0
154,113.jpg,False,113,//images.igdb.com/igdb/image/upload/t_thumb/co1mxz.jpg,Assassin's Creed: Brotherhood,5.0
155,1130.jpg,True,1130,//images.igdb.com/igdb/image/upload/t_thumb/co1pif.jpg,Castlevania,3.0
156,1136.jpg,False,1136,//images.igdb.com/igdb/image/upload/t_thumb/co1nh8.jpg,Castlevania: Dawn of Sorrow,3.0
157,11364.jpg,False,11364,//images.igdb.com/igdb/image/upload/t_thumb/co24kj.jpg,"Warhammer 40,000: Inquisitor - Martyr",5.0
158,11367.jpg,False,11367,//images.igdb.com/igdb/image/upload/t_thumb/co1rqm.jpg,Anna's Quest,2.0
159,1138.jpg,True,1138,//images.igdb.com/igdb/image/upload/t_thumb/co25w1.jpg,Castlevania: Portrait of Ruin,3.0
160,1139.jpg,True,1139,//images.igdb.com/igdb/image/upload/t_thumb/co20dk.jpg,Castlevania: Rondo of Blood,3.0
161,11397.jpg,True,11397,//images.igdb.com/igdb/image/upload/t_thumb/co252x.jpg,Yakuza 0,5.0
162,114.jpg,True,114,//images.igdb.com/igdb/image/upload/t_thumb/co20xa.jpg,Star Wars: The Old Republic,4.0
163,11409.jpg,False,11409,//images.igdb.com/igdb/image/upload/t_thumb/co1tjn.jpg,Submerged,2.0
164,1141.jpg,False,1141,//images.igdb.com/igdb/image/upload/t_thumb/co1nha.jpg,Castlevania: Order of Ecclesia,3.0
165,11430.jpg,False,11430,//images.igdb.com/igdb/image/upload/t_thumb/co1k9w.jpg,Reign: Conflict of Nations,2.0
166,11460.jpg,False,11460,//images.igdb.com/igdb/image/upload/t_thumb/co1s9a.jpg,Titan Attacks!,2.0
167,1149.jpg,False,1149,//images.igdb.com/igdb/image/upload/t_thumb/co1pat.jpg,Castlevania: Lords of Shadow - Mirror of Fate,4.0
168,11491.jpg,False,11491,//images.igdb.com/igdb/image/upload/t_thumb/co22as.jpg,Zombi,5.0
169,11492.jpg,False,11492,//images.igdb.com/igdb/image/upload/t_thumb/co2mll.jpg,Mafia III,5.0
170,115.jpg,False,115,//images.igdb.com/igdb/image/upload/t_thumb/co254s.jpg,League of Legends,3.0
171,1150.jpg,True,1150,//images.igdb.com/igdb/image/upload/t_thumb/co2mmn.jpg,Broken Sword II: The Smoking Mirror,3.0
172,1151.jpg,True,1151,//images.igdb.com/igdb/image/upload/t_thumb/co1v0a.jpg,Broken Sword: The Sleeping Dragon,3.0
173,1152.jpg,True,1152,//images.igdb.com/igdb/image/upload/t_thumb/co2i9n.jpg,Broken Sword: The Angel of Death,3.0
174,11545.jpg,True,11545,//images.igdb.com/igdb/image/upload/t_thumb/co27go.jpg,Yesterday Origins,5.0
175,11549.jpg,True,11549,//images.igdb.com/igdb/image/upload/t_thumb/co260k.jpg,Zero Escape: Zero Time Dilemma,5.0
176,11550.jpg,False,11550,//images.igdb.com/igdb/image/upload/t_thumb/co1qk6.jpg,Endless Space 2,2.0
177,11560.jpg,False,11560,//images.igdb.com/igdb/image/upload/t_thumb/co1v8z.jpg,AER: Memories of Old,2.0
178,1157.jpg,True,1157,//images.igdb.com/igdb/image/upload/t_thumb/co1vob.jpg,Tomb Raider III: Adventures of Lara Croft,3.0
179,11582.jpg,False,11582,//images.igdb.com/igdb/image/upload/t_thumb/co1r75.jpg,Stellaris,2.0
180,1159.jpg,True,1159,//images.igdb.com/igdb/image/upload/t_thumb/co1vog.jpg,Tomb Raider: The Angel of Darkness,3.0
181,11590.jpg,False,11590,//images.igdb.com/igdb/image/upload/t_thumb/co1odu.jpg,The Surge,5.0
182,11592.jpg,False,11592,//images.igdb.com/igdb/image/upload/t_thumb/co1xo1.jpg,Lara Croft GO,2.0
183,11598.jpg,False,11598,//images.igdb.com/igdb/image/upload/t_thumb/co27zw.jpg,Ittle Dew 2,2.0
184,116.jpg,True,116,//images.igdb.com/igdb/image/upload/t_thumb/co1tmz.jpg,Star Wars: Knights of the Old Republic,3.0
185,11602.jpg,False,11602,//images.igdb.com/igdb/image/upload/t_thumb/co2hlo.jpg,Road Redemption,5.0
186,1161.jpg,False,1161,//images.igdb.com/igdb/image/upload/t_thumb/co1nnv.jpg,Tomb Raider: Legend,3.0
187,1162.jpg,True,1162,//images.igdb.com/igdb/image/upload/t_thumb/co1vo9.jpg,Tomb Raider: Anniversary,4.0
188,11625.jpg,False,11625,//images.igdb.com/igdb/image/upload/t_thumb/co27bf.jpg,The Room,2.0
189,1163.jpg,False,1163,//images.igdb.com/igdb/image/upload/t_thumb/co1voc.jpg,Tomb Raider: Underworld,4.0
190,11639.jpg,False,11639,//images.igdb.com/igdb/image/upload/t_thumb/co209m.jpg,Need for Speed: Carbon - Own the City,2.0
191,1164.jpg,False,1164,//images.igdb.com/igdb/image/upload/t_thumb/co1rbu.jpg,Tomb Raider,5.0
192,11651.jpg,True,11651,//images.igdb.com/igdb/image/upload/t_thumb/co1sdo.jpg,SlashDash,2.0
193,11657.jpg,False,11657,//images.igdb.com/igdb/image/upload/t_thumb/co1xni.jpg,Epistory - Typing Chronicles,2.0
194,11659.jpg,False,11659,//images.igdb.com/igdb/image/upload/t_thumb/pwkrufbyielvnjvhgpo8.jpg,Yo-Kai Watch Blasters: Red Cat Corps,2.0
195,11668.jpg,False,11668,//images.igdb.com/igdb/image/upload/t_thumb/co1r8f.jpg,Dollhouse,5.0
196,117.jpg,False,117,//images.igdb.com/igdb/image/upload/t_thumb/co271e.jpg,The Last Guardian,3.0
197,1172.jpg,True,1172,//images.igdb.com/igdb/image/upload/t_thumb/co1uca.jpg,Golden Sun,3.0
198,1173.jpg,False,1173,//images.igdb.com/igdb/image/upload/t_thumb/co25rt.jpg,Golden Sun: The Lost Age,2.0
199,11737.jpg,False,11737,//images.igdb.com/igdb/image/upload/t_thumb/co1i2e.jpg,Outer Wilds,2.0
200,11744.jpg,False,11744,//images.igdb.com/igdb/image/upload/t_thumb/co233x.jpg,The Escapists: The Walking Dead,2.0
201,11746.jpg,True,11746,//images.igdb.com/igdb/image/upload/t_thumb/i4kpjaihit1neics5a6d.jpg,Criminal Girls: Invite Only,5.0
202,11789.jpg,False,11789,//images.igdb.com/igdb/image/upload/t_thumb/co1oye.jpg,Primal,5.0
203,118.jpg,False,118,//images.igdb.com/igdb/image/upload/t_thumb/co1qrj.jpg,Star Wars: Knights of the Old Republic II - The Sith Lords,3.0
204,11800.jpg,True,11800,//images.igdb.com/igdb/image/upload/t_thumb/co1y5v.jpg,Divinity: Original Sin II,5.0
205,1182.jpg,False,1182,//images.igdb.com/igdb/image/upload/t_thumb/co1npp.jpg,Castlevania: Lords of Shadow 2,5.0
206,1183.jpg,False,1183,//images.igdb.com/igdb/image/upload/t_thumb/co1tco.jpg,Guild Wars 2,3.0
207,1184.jpg,False,1184,//images.igdb.com/igdb/image/upload/t_thumb/co1nhf.jpg,World of Tanks,2.0
208,1185.jpg,True,1185,//images.igdb.com/igdb/image/upload/t_thumb/co1tzg.jpg,Crash Bandicoot,1.0
209,1189.jpg,False,1189,//images.igdb.com/igdb/image/upload/t_thumb/co1ott.jpg,Crash Twinsanity,1.0
210,1190.jpg,False,1190,//images.igdb.com/igdb/image/upload/t_thumb/co1v63.jpg,Crash of the Titans,2.0
211,11905.jpg,False,11905,//images.igdb.com/igdb/image/upload/t_thumb/co2jx7.jpg,APB,5.0
212,1192.jpg,False,1192,//images.igdb.com/igdb/image/upload/t_thumb/co1nim.jpg,Crash Team Racing,1.0
213,1193.jpg,True,1193,//images.igdb.com/igdb/image/upload/t_thumb/co1nw8.jpg,Crash Nitro Kart,1.0
214,12.jpg,False,12,//images.igdb.com/igdb/image/upload/t_thumb/co1pmn.jpg,Vampire: The Masquerade - Redemption,5.0
215,120.jpg,False,120,//images.igdb.com/igdb/image/upload/t_thumb/co2l1u.jpg,Diablo III,4.0
